Film,Director,Description,Date Create,Star,Poster
Thiên Đường,Hạnh Nhân,"“Anh tin, Thiên đường là có thật” - Quang Kha đã hàng ngàn lần khẳng định điều đó với Thiên Di, người vợ đẹp như thiên thần, luôn cho anh cảm giác bay bổng, yêu thương trong nhiều năm chung sống.
Nhưng, Thiên đường đã tan biến theo Thiên Di, sau một vụ tai nạn thảm khốc. Suốt một năm trời, chàng họa sĩ Quang Kha vẫn không thể tin vào sự thật, sống trong ảo vọng, vô hồn, chỉ thiếu nước tự tử theo vợ vì còn vướng bận cậu con trai bé bỏng.",2019,"['Han Jae Suk', 'Lý Nhã Kỳ', 'Kim Tuyến', 'Jo Han Sun']",https://i.moveek.com/bundles/ornweb/img/no-poster.png?v=7206
Người Làm Pháo Hoa,Huỳnh Tuấn Anh,Chưa có thông tin,2019,No Actor,https://i.moveek.com/bundles/ornweb/img/no-poster.png?v=7206
Mục Tiêu Chết,Cung Le,"Mục Tiêu Chết xoay quanh câu chuyện về hai điệp viên ưu tú người Việt là Mạnh và An thuộc lực lượng cảnh sát đặc nhiệm tinh nhuệ. Trong lần thực hiện nhiệm vụ tại nước ngoài, Mạnh và An đối mặt với băng nhóm mafia khét tiếng châu Á, buộc phải đưa ra những quyết định sinh tử.",2019,['Cung Le'],https://i.moveek.com/bundles/ornweb/img/no-poster.png?v=7206
Nhân Duyên: Anh Mãi Bên Em,Luk Vân,"Một đôi trai gái với mối duyên kéo dài nhiều kiếp. Sau khi đầu thai, họ vẫn tiếp tục tìm đến nhau vì tình yêu trời định.",2019,"['Trịnh Thăng Bình', 'Midu']",https://i.moveek.com/bundles/ornweb/img/no-poster.png?v=7206
Ghen,Nguyễn Thành Vinh,"Một cô gái giàu có, cô có tất cả chỉ thiếu mỗi tình yêu.",2019,"['Quỳnh Thư', 'Thanh Hương', 'Phan Hoàng Kim', 'Vy Timy', 'Vinh Râu', 'Huỳnh Phương', 'Thái Vũ']",https://i.moveek.com/bundles/ornweb/img/no-poster.png?v=7206
Ngồi Khóc Trên Cây,,Ngồi khóc trên cây sẽ là tiểu thuyết thứ 3 của Nguyễn Nhật Anh được chuyển thể thành phim điện ảnh. Phim dự kiến được bấm máy vào tháng 9.,2019,No Actor,https://i.moveek.com/bundles/ornweb/img/no-poster.png?v=7206
Mối Tình Đầu Của Tôi,,Chưa có thông tin,2019,No Actor,https://i.moveek.com/bundles/ornweb/img/no-poster.png?v=7206
Ba Điều Ước,Hwi Sung Kim,Chưa có thông tin,2019,No Actor,https://i.moveek.com/bundles/ornweb/img/no-poster.png?v=7206
Giờ Sao Đây,Hiếu Romeo,Chưa có thông tin,2019,No Actor,https://i.moveek.com/bundles/ornweb/img/no-poster.png?v=7206
Hạnh Phúc Không Dành Cho Tình Nhân,Nam Đoàn,"Bộ phim được chuyển thể từ tác phẩm cùng tên của nhà văn Mèo xù. Một câu chuyện về những mối quan hệ đang xảy ra trong xã hội hiện tại, được miêu tả một cách chân thực, hấp dẫn qua bàn tay của đạo diễn Nam Đoàn. Bộ phim dự kiến bấm máy tháng 11/2017 và sẽ được khởi chiếu vào đầu năm 2018.",2019,['Quỳnh Thư'],https://i.moveek.com/bundles/ornweb/img/no-poster.png?v=7206
Bệnh Viện Ma 2,,Chưa có thông tin,2019,No Actor,https://i.moveek.com/bundles/ornweb/img/no-poster.png?v=7206
Mùa Tử Đằng Yêu Em,Bùi Nam Yên,"Mùa Xuân, phố núi ngập tràn trong những cánh mai anh đào, và đôi má ửng hồng của Nhã Ca đã khiến Lam say đắm. Tình yêu từ đó nảy nở, như những ngọn lộc non, tươi xanh thanh xuân của đôi lứa. Mùa hè, trời trong như mật ngọt. Trái tim của Nhã Ca được bao bọc bằng sự tha thiết của người yêu. Mặc kệ cha mẹ ngăn cấm, Lam vẫn bên Nhã Ca, thề nguyền bên cô mãi mãi. Tình yêu nóng bỏng và say mê.
Mùa thu rực rỡ, dưới những vòm hoa bát ngát, Nhã Ca trao anh nụ hôn, trao cho anh hơi thở, quấn đời nhau bằng sự chân thật mà mãnh liệt. Họ cùng chờ mùa tử đằng trên đỉnh núi, đến nơi hai ngôi mộ từ xa xưa, để được những linh hồn cũ tác thành. Và cũng mùa thu ấy, khi Lam chở Nhã Ca về, họ gặp một tai nạn xe nguy hiểm, khiến Nhã Ca sống đời thực vật, trong nỗi tuyệt vọng của Lam.
Những ngày ảm đạm đến, sương mù phủ tràn khắp chốn, Đà Lạt vào đông tịch liêu, giá buốt. Lam từng ngày sống bằng ký ức. Anh lại chờ tử đằng nở, lại co ro lạc lõng đi lên đỉnh núi, rải kỷ vật tình yêu của mình và Nhã Ca, mong một lần gặp lại nàng, dù nàng chỉ là một linh hồn đi nữa.",2019,No Actor,https://i.moveek.com/bundles/ornweb/img/no-poster.png?v=7206
Giấc Mơ Thứ 7,Michael Võ,"Giấc Mơ Thứ 7 xoay quanh một biên kịch trẻ tên Tony. Tony lên Đà Lạt tìm nơi yên tĩnh để sáng tác và tranh thủ thăm cậu em trai. Cũng chính từ đây, Tony có những giấc mơ kỳ lạ về một cô gái. Thông qua 7 giấc mơ, anh bắt đầu nhận thấy đây là nguồn cảm hứng mà bản thân đã đi tìm bấy lâu nay. Mải mê trong cuộc hành trình cảm hứng đã khiến Tony vô tình phát hiện ra một bí mật thật sự khủng khiếp đã được chôn vùi tại đây.",2019,"['Nguyễn Anh Dũng', 'Trương Thị May', 'Huỳnh Kiến An', 'Việt Lâm Thắng', 'Ginô Tống', 'Võ Khánh Minh', 'Xuân Nghị', 'Bá Đức']",https://i.moveek.com/media/cache/poster_fixed/media/ca156b37ea853dce7d9c763cfc0695d70b269027.jpg 
Bởi Sài Gòn Nhiều Nắng,,Chưa có thông tin,2019,['Ngô Thanh Vân'],https://i.moveek.com/bundles/ornweb/img/no-poster.png?v=7206
Trạng Tí,Ngô Thanh Vân,"Không chỉ ra mắt phần đầu tiên vào dịp Tết Nguyên đán 2019, Trạng Tí sẽ là sequel của nhà sản xuất cho nhiều phần vào những dịp hè hoặc Tết Nguyên đán.",2019,No Actor,https://i.moveek.com/bundles/ornweb/img/no-poster.png?v=7206
Yolo,Phan Minh,"Những người trẻ dấn thân theo đuổi đam mê âm nhạc, đặc biệt là “thế giới ngầm” - underground. Để thỏa mãn đam mê ca hát với cá tính âm nhạc của riêng mình, họ phải trải qua nhiều sóng gió và nỗ lực không ngừng để khẳng định bản thân. Những cám dỗ, mảnh tối của giới giải trí cũng là những thách thức để người bạn trẻ này đối mặt và không vấp ngã.",2019,"['Soobin Hoàng Sơn', 'Cường Seven', 'Tuấn Trần', 'Băng Di', 'Khánh Huyền', 'Xuân Phúc']",https://i.moveek.com/media/cache/poster_fixed/media/ebe2c99fe993d71eb40d8ec8fd4b1c61161b336d.jpg 
Sứ Mạng Sinh Tử,Trần Bình,"Bộ phim thuộc thể loại hình sự – hành động – võ thuật có nội dung nói về con đường đi tìm sự thật, vạch trần những tội ác sai trái của người làm nghề phóng viên báo chí. Họ phải đối mặt với những nguy hiểm luôn rình rập khi chiến đấu khốc liệt với những băng đảng tội phạm nguy hiểm. Thậm chí, họ sẵn sàng đánh đổi mạng sống để giữ hòa bình cho đất nước.",2019,"['Trương Minh Cường', 'Hứa Minh Đạt', 'Quách Ngọc Tuyên', 'Nam Long', 'Kiều Oanh', 'Hoàng Mập', 'Triệu An', 'Nhi Katy', 'Kỳ Anh', 'Nguyễn Trần Duy Nhất']",https://i.moveek.com/media/cache/poster_fixed/media/ae2766b19a8dff7e1fa608845bb25c0573f62e4c.jpg 
Ả Xe Ôm và Gã Đứng Đường,,"Câu chuyện kể về một ả xe ôm và gã đứng đường. Cuộc đời của cả hai bắt đầu như không hề có mối liên quan nào. Gã đứng đường với thân phận và thực tại rõ ràng, cứ từng ngày đi trên con đường đời chán nản không lối thoát của mình. Ả xe ôm có thân phận được che giấu với nhiều uẩn khuất, mỗi lúc một rõ ràng hơn qua những bước đi từ hiện tại ngược về quá khứ.",2019,No Actor,https://i.moveek.com/bundles/ornweb/img/no-poster.png?v=7206
Thích Là Nhích,Nguyễn Bá Cường,Phim điện ảnh THÍCH LÀ NHÍCH - một bộ phim với chủ đề học đường võ thuật hứa hẹn sẽ mở ra một trào lưu phim võ thuật Việt Nam.,2019,No Actor,https://i.moveek.com/media/cache/poster_fixed/media/c43e95771f509f92d1e47b8944055fbf2d198185.jpg 
Dạ Khúc,Ngô Thanh Vân,Chưa có thông tin,2019,No Actor,https://i.moveek.com/bundles/ornweb/img/no-poster.png?v=7206
Yêu Anh Nhé! Chàng Trai,Sĩ Đăng,Một phim hài tình huống dành cho cộng đồng LGBT.,2019,No Actor,https://i.moveek.com/media/cache/poster_fixed/media/8b0075892bd5b03164a580d5df8efa63f80d3f5a.jpg 
Người Phán Xử,Nguyễn Quang Huy,Chuyển thể từ phim truyền hình cùng tên - Người Phán Xử.,2019,No Actor,https://i.moveek.com/media/cache/poster_fixed/media/dac45780552e1920171bbd4aa10be3929e1c9732.jpg 
Đối Thủ,Ngô Thanh Vân,Chưa có thông tin,2019,No Actor,https://i.moveek.com/bundles/ornweb/img/no-poster.png?v=7206
Gameshow Tử Thần,Kazuhisa Yusa,"Bộ phim là câu chuyện kể về 4 cô gái Hotgirl Việt Nam, tuổi Teen xinh đẹp và tài năng. Với mơ ước trở thành Nghệ sỹ nổi tiếng thế giới, các cô đã nộp hồ sơ và bất ngờ được chọn vào chung kết cuộc thi Gameshow thực tế tại Tokyo (Nhật Bản). Tuy nhiên khi đến Tokyo, cuộc thi của họ hóa ra đầy nguy hiểm và thử thách với sự xuất hiện của những Xác Sống hung dữ. Liệu 4 cô gái này có thể vượt qua cuộc thi và an toàn trở về Việt Nam?
Bộ phim là bản remake của St. Zombie Girls' High School (2017).",2019,"['Katleen Phan Võ', 'Thùy Anh', 'Hoàng Yến Chibi', 'Ngô Kiến Huy']",https://i.moveek.com/bundles/ornweb/img/no-poster.png?v=7206
Ngốc Ơi Tuổi 17,Chu Thiện,Kịch bản được chuyển thể từ truyện ngắn Võ Anh Thơ.,2019,No Actor,https://i.moveek.com/media/cache/poster_fixed/media/1cd626b2bdc9251149c27e37cea1e78f5dffc919.jpg 
Trò Chơi Tử Thần,,Chưa có thông tin,2019,No Actor,https://i.moveek.com/bundles/ornweb/img/no-poster.png?v=7206
Sơn Thần,,"Sơn Thần là dự án phim hoạt hình 3D chất lượng cao do Việt Nam sản xuất, được đầu tư công phu nhất từ trước tới nay, phim có thời lượng 90 phút dự kiến ra rạp vào năm 2018. Nội dung phim được phóng tác dựa trên câu truyện cổ tích “Sơn Tinh – Thủy Tinh”. Bộ phim được thực hiện hoàn toàn trên máy tính và là lần đầu tiên áp dụng thử nghiệm phương pháp sản xuất công nghiệp hóa phim hoạt hình 3D hiện đại tại Việt Nam.",2019,No Actor,https://i.moveek.com/media/cache/poster_fixed/media/93325f5b4fef7d77e50cc51d0ca8823211c3c67a.jpg 
Người Yêu Ơi,Bùi Trung Hải,Những thân phận tình yêu của người H’Mong.,2019,No Actor,https://i.moveek.com/bundles/ornweb/img/no-poster.png?v=7206
Đồng Phạm Ẩn Danh,Trần Thượng Anh,Chưa có thông tin,2019,No Actor,https://i.moveek.com/bundles/ornweb/img/no-poster.png?v=7206
The Dreamer,Nguyễn Tiến Thành,Chưa có thông tin,2019,"['Lâm Thanh Mỹ', 'Nguyễn Thái Sơn', 'Huỳnh Kiến An', 'Nguyễn Lan Phương', 'Phạm Duy Hà Linh', 'Lê Nguyễn Bảo Nghi', 'Lê Chi']",https://i.moveek.com/media/cache/poster_fixed/media/f5fca126ff5fc5757689348afa830bfd2329344e.jpg 
Đất Rừng Phương Nam,Nguyễn Quang Dũng,Phiên bản điện ảnh của Đất Phương Nam.,2019,No Actor,https://i.moveek.com/bundles/ornweb/img/no-poster.png?v=7206
"Người Lạ Ơi, Yêu Mất Rồi!",Cát Phượng,Chưa có thông tin,2019,No Actor,https://i.moveek.com/media/cache/poster_fixed/media/2a2c4cac2c4c12254d1027b8b6211533736487ff.jpg 
Sơn Tinh - Thủy Tinh,Victor Vũ,Chưa có thông tin,2019,No Actor,https://i.moveek.com/media/cache/poster_fixed/media/356f7b6d3856e5999d309769e3e92c5a70edbbdd.jpg 
Bình Tĩnh Mà Yêu,Huỳnh Tuấn Anh,Phim kể về chuyện tình tay ba của cô chủ resort Hải Anh (Mai Thanh Hà) với hai người bạn thân Thiên Di (Nguyễn Quốc Trường Thịnh) và Vũ (Huy Khánh).,2019,"['Mai Thanh Hà', 'Huy Khánh', 'Nguyễn Quốc Trường Thịnh', 'Hải Triều', 'Phi Ngọc Ánh', 'Mạc Can']",https://i.moveek.com/media/cache/poster_fixed/media/4a0ca03741f461b48dfa5494eb804487b523e419.jpg 
Ước Hẹn Mùa Thu,Nguyễn Quang Dũng,Chưa có thông tin,2019,No Actor,https://i.moveek.com/bundles/ornweb/img/no-poster.png?v=7206
578 Movies,Lương Đình Dũng,"578 là Bộ phim kể về câu chuyện của một người lái xe container và cô con gái nhỏ của mình. Cuộc sống của 2 cha con trên chiếc xe màu đỏ cứ êm đềm diễn ra cho đến ngày cô bé xa cha đi học. Mọi thứ bỗng đảo lộn khi người cha nhận được tin cô con gái của mình bị trầm cảm nặng. Càng đau đớn hơn khi ông biết rằng con mình bị xâm hại. Trên hành trình đi tìm công lý cho con, những màn đấu trí căng thẳng, những cuộc rượt đuổi khốc liệt và rồi người cha chợt nhận ra rằng ông không chỉ đối đầu với một kẻ xâm hại.",2019,No Actor,https://i.moveek.com/bundles/ornweb/img/no-poster.png?v=7206
Chuyến Xe Hạnh Phúc,Huỳnh Đông,“Cuộc chiến” giúp con trở thành một đứa trẻ bình thường của mẹ Tuệ - một người mẹ đơn thân và quê mùa - với cậu con trai mắc bệnh tự kỷ bẩm sinh.,2019,"['Kiều Minh Tuấn', 'Cát Phượng', 'bé Huy Khang', 'Lâm Vinh Hải']",https://i.moveek.com/bundles/ornweb/img/no-poster.png?v=7206
Em Trên 18,,Cặp đôi Kiều Minh Tuấn và Kaity sẽ tiếp tục tái xuất trong dự án Em trên 18. Đây không phải là phần hai của Em chưa 18 mà là câu chuyện hoàn toàn khác.,2019,"['Kaity Nguyễn', 'Kiều Minh Tuấn']",https://i.moveek.com/media/cache/poster_fixed/media/9cefd47dd8cff2922930f7b8ddddb7b4fe2fce14.jpg 
Em Đẹp Em Có Quyền,Nguyễn Hoàng Vũ,"Xoay quanh bốn nhân vật trung tâm, mỗi người một hoàn cảnh khác nhau, nhưng điểm chung là những người rất đỗi cô đơn trên mạng. Họ dẫn dắt người khác vào những câu chuyện thêu dệt nhằm nổi tiếng hơn, đôi khi đạp lên người khác một cách “bất chấp”.",2019,No Actor,https://i.moveek.com/media/cache/poster_fixed/media/47916a221e7d07ef6ebe486dd9b9cf8c87ead8ff.jpg 
Hẹn Yêu,Trực Nguyễn,Chưa có thông tin,2019,No Actor,https://i.moveek.com/bundles/ornweb/img/no-poster.png?v=7206
"Mặt Trời, Con Ở Đâu",Nguyễn Hữu Tuấn,Hành trình chạy trốn khỏi nhóm bắt cóc và tìm đường về nhà của Á - một cậu nhóc 10 tuổi bán vé số dạo và bạn đồng hành là cô bé tiểu thư  9 tuổi Xuka.,2019,"['Huỳnh Đông', 'Bảo Bảo', 'Mai Cát Vi', 'Việt Hương']",https://i.moveek.com/media/cache/poster_fixed/media/1aeeb3da3b43f13c1ac637d1c2d4153244e2c51e.png 
Scandal 3,,Chưa có thông tin,2019,No Actor,https://i.moveek.com/bundles/ornweb/img/no-poster.png?v=7206
50 First Dates Việt Nam,Nguyễn Quang Dũng,Chưa có thông tin,2019,No Actor,https://i.moveek.com/bundles/ornweb/img/no-poster.png?v=7206
Sám Hối,Peter Hiền,Chưa có thông tin,2019,"['Bình Minh', 'Anh Thư', 'Khả Ngân', 'Việt Hương']",https://i.moveek.com/media/cache/poster_fixed/media/9b78cea07da298209b1455c0e2d41429dc777b92.jpg 
Thưa Mẹ Con Đi,Trịnh Đình Lê Minh,"Chàng thanh niên đứng giữa lựa chọn tương lai là cuộc sống cá nhân ở nước Mỹ, hay trở về Việt Nam với những ràng buộc trong đại gia đình.",2019,No Actor,https://i.moveek.com/bundles/ornweb/img/no-poster.png?v=7206
Yêu Em Anh Chạm Vào Đâu,Đinh Thái Thụy,Chưa có thông tin,2019,"['Hà Việt Dũng', 'Khánh Như', 'Vân Trang', 'Vân Anh', 'Hồng Đào']",https://i.moveek.com/bundles/ornweb/img/no-poster.png?v=7206
Tuyệt Vời Khi Ở Bên Em,Luk Vân,Chưa có thông tin,2019,"['Harry Lu', 'B Trần']",https://i.moveek.com/bundles/ornweb/img/no-poster.png?v=7206
Mùa Hè Năm Ấy,Nguyễn Phúc Huy Cương,"Mùa Hè Năm Ấy nói về cuộc hành trình đi tìm lại “tuổi thanh xuân” của một người đàn ông mới trở về quê hương sau 30 năm xa cách cũng như khát vọng của nhiều người trẻ trong hành trình khởi nghiệp, khẳng định bản thân với nhiều biến động khác nhau.",2019,"['Gin Tuấn Kiệt', 'Ngọc Trai', 'Tuyền Tăng', 'Hoài Khánh', 'Thanh Phong', 'Quang Minh']",https://i.moveek.com/media/cache/poster_fixed/media/b8eb258bc82b375f55ea4f1a834ecd404cc9adc4.jpg 
Cha Ma,Bá Vũ,Dựa theo truyện ngắn của HOÀNG ANH TÚ,2019,No Actor,https://i.moveek.com/media/cache/poster_fixed/media/0a6e73f466333cbf05f0b1b7c72b1aa7ddfc809c.jpg 
Người Vợ Ba,Ash Mayfair,Một phim về xã hội miền Bắc thời xưa kể về cuộc đời một cô bé gái được đưa vào sống trong một gia đình giàu có.,2019,"['Tran Nu Yên-Khê', 'Long Le Vu', 'Maya Mai Thu Huong', 'My Nguyen Phuong Tra', 'Như Quỳnh Nguyễn']",https://i.moveek.com/media/cache/poster_fixed/media/54814a1cd4602820201bfdf3231a1c9f8e15ed87.jpg 
"Cà Chớn, Anh Đừng Đi",,Chưa có thông tin,2019,['Xuân Phúc'],https://i.moveek.com/media/cache/poster_fixed/media/7bdd012cc50c8c7f9a965a16867f2cb89ad37034.jpg 
Yêu Nhầm Đại Ca,Nguyễn Huy Cường,Chưa có thông tin,2019,No Actor,https://i.moveek.com/bundles/ornweb/img/no-poster.png?v=7206
Tháng Ngày Thanh Xuân Ấy,Bảo Nhân,Chưa có thông tin,2019,No Actor,https://i.moveek.com/bundles/ornweb/img/no-poster.png?v=7206
Tim Hằn Vết Sẹo,Lưu Huỳnh,"Tim Hằn Vết Sẹo là câu chuyện về cuộc đời của Nhài (Thiên Tú), cô gái trẻ sống ở vùng nông thôn miền xa. Mồ côi từ nhỏ, Nhài phải đi làm thuê phụ việc kiếm sống, cuộc đời trôi giạt tương lai đen tối. May nhờ gặp ông Lâm (NSND Bùi Bài Bình) cưu mang giúp đỡ. Nhài về sống với ông Lâm, một người thương binh già hành nghề chiếu phim dạo. Và những thước phim xưa cũ chiếu trên vách tường vàng ố là cầu nối đồng điệu cho hai mảnh đời lạc thời. Tưởng rằng bình yên sẽ đến với ông Lâm và Nhài. Nhưng ngược lại, cuộc sống của họ lại chìm dần vào khổ đau không lối thoát.",2019,"['Bùi Bài Bình', 'Tạ Minh Thảo', 'Hoa Thúy', 'Xuân Phúc', 'Đinh Y Nhung']",https://i.moveek.com/media/cache/poster_fixed/media/7d8631aaf45d2eff382cd57c93db10f4837c32ee.JPG 
Thầy Ơi! Em Có Bầu,Đức Thịnh,"Phải biết làm chủ bản thân trong quan hệ yêu đương, tình cảm.",2019,No Actor,https://i.moveek.com/bundles/ornweb/img/no-poster.png?v=7206
Trái Tim Quái Vật,Tạ Nguyên Hiệp,"Một vụ án mạng, một gia đình bị truy nã, một hung thủ đứng đằng sau tất cả.",2019,No Actor,https://i.moveek.com/media/cache/poster_fixed/media/65445105e56e42632fdef5e9bfb03a99d57cfdc0.jpg 
Mỹ Nhân Thần Sách,Nguyễn Phương,"Mỹ Nhân Thần Sách là câu chuyện về An, một cô nàng nhút nhát, lù đù, mọt sách được mệnh danh là “An thần sách” vừa chuyển đến trường mới. Với sự thông minh của mình, An nhanh chóng được hội VỸ NHÂN (tập họp các học sinh xuất sắc về học thuật) của trường mới chú ý, quyết lôi kéo vào hội với mục đích làm hội lớn mạnh hơn, để chinh phục các cuộc thi kiến thức trong trường và quốc gia.",2019,"['Nanon Korapat', 'Việt Linh', 'Minh Beta', 'Trúc Anh Burin', 'Thiên Nga', 'Alex', 'Yori', 'Hà Hương', 'Ginô Tống', 'Củ Tỏi', 'Phi Phụng']",https://i.moveek.com/media/cache/poster_fixed/media/ccf7040246605214bbe37780866be6fa10dd4669.JPG 
Ra Giêng Anh Cưới Em,Cường Ngô,Chưa có thông tin,2019,['jason ninh cao'],https://i.moveek.com/bundles/ornweb/img/no-poster.png?v=7206
